grupo,n_contribuyentes,perct_recepcion_extra,recepcion_extragrupo,perct_emision_extra,emision_intragrupo,emision_extragrupo,tasa_emision_intra_extra
317,3,82.39301329867804,817736286.0,0.0009882802720962772,174746272.0,1727.0,101184.87087434858
523,3,51.24853846616231,474604742.0,0.007574517622658976,451479701.0,34200.0,13201.160847953217
2116,5,55.21083320734939,10117581955.0,0.014797449185035548,8207774442.0,1214721.0,6756.9215004927055
1043,5,27.18519996964492,2695851298.0,0.017495090652210714,7220762525.0,1263500.0,5714.889216462208
2091,3,64.78566174857593,40268196.0,0.03718947835990701,21887835.0,8143.0,2687.932580130173
2790,3,11.300500178981647,346964402.0,0.04184221545219825,2723381127.0,1140000.0,2388.9308131578946
245,4,72.67234433044023,602999607.0,0.05362775282732599,226751535.0,121667.0,1863.706140531122
1946,4,24.83911353802056,1510918931.0,0.0716667973602089,4571902538.0,3278886.0,1394.3462926127959
2984,3,12.21924245339279,143830730.0,0.07481499044534856,1033253124.0,773607.0,1335.6305255769403
1112,64,18.801862454119032,2332278389.0,0.09123196160057008,10072228849.0,9197483.0,1095.10709060294
1945,4,51.33379060976404,2580164284.0,0.11235152762703628,2446085002.0,2751305.0,889.0635542042776
989,14,17.711907309238413,1036994397.0,0.1132024946407713,4817792323.0,5460042.0,882.3727588542359
1987,3,19.03818464469046,375695533.0,0.11323820088402033,1597683442.0,1811239.0,882.0942139607197
97,9,46.386673961707764,2967383222.0,0.1782819907848092,3429676469.0,6125416.0,559.9091504968806
2704,3,8.490938018612598,96727635.0,0.31132709427433003,1042459046.0,3255593.0,320.2055803658504
1056,3,70.83380188799163,217358313.0,0.3189370264183555,89498452.0,286357.0,312.54151985109496
1884,2,6.939897577448134,20154134.0,0.4106710713199414,270255541.0,1114438.0,242.50388177718276
1466,3,64.14988785711331,4210342106.0,0.46407134348143325,2352946228.0,10970259.0,214.48410908074277
2386,3,7.445952019373549,131873612.0,0.5114313212228201,1639204306.0,8426500.0,194.52967495401413
1153,2,99.76506886577798,7918885983.0,0.5361193425456059,18647738.0,100513.0,185.52563350014427
1094,3,81.18856420017907,859760058.0,0.5455829766444769,199206887.0,1092801.0,182.290176345007
427,3,94.93472472627248,1082973857.0,0.6121622169243611,57782447.0,355901.0,162.35539377523526
2297,3,56.12917123487243,115898917.0,0.6766948974556831,90587148.0,617175.0,146.77708591566412
2393,4,63.241375585892015,695807103.0,0.693654843268005,404433201.0,2824966.0,143.16391807901405
1847,4,42.675871050398385,283121241.0,0.7784634683942747,380301049.0,2983732.0,127.45817955500024
1944,17,19.281341997164482,1296771781.0,0.8823372502297313,5428754799.0,48326327.0,112.33534878411099
2362,3,95.54859225143386,3414563638.0,0.8985724787939914,159077331.0,1442386.0,110.28762827703541
3036,4,51.007531268717386,338049478.0,0.9650034694528415,324694767.0,3163847.0,102.62657043782458
1984,23,11.050006872215041,2092507060.0,1.0295272429534323,16844196638.0,175219526.0,96.1319609893249
2659,12,38.725483889631235,2699855198.0,1.0838402613998324,4271923917.0,46808157.0,91.26451863934741
383,2,88.56601840017055,1218979225.0,1.1947680873009592,157371713.0,1902963.0,82.69825162128744
849,6,90.50336100573175,749277152.0,1.3019096192539084,78622656.0,1037098.0,75.81024744045403
502,2,84.39118179084055,665092087.0,1.3500278024806687,123014055.0,1683451.0,73.07254859214791
289,10,46.97152064808382,10520573870.0,1.3579159179375786,11877197641.0,163502585.0,72.64226214527434
1351,8,88.72536923907344,4722080335.0,1.5131697766241698,600050613.0,9219288.0,65.08643758606955
1229,16,82.91648295984287,1058644754.0,1.6467359427052548,218115567.0,3651925.0,59.72619015998412
718,4,29.881049080369028,473095921.0,1.6627544012057467,1110168173.0,18771494.0,59.14117294020391
767,12,37.74259977669131,5219077035.0,1.7141464278092668,8609003346.0,150144622.0,57.33807332772798
1336,3,93.59532334169208,594068124.0,1.8680546132707427,40651756.0,773853.0,52.53162551544027
1947,4,17.57657997402907,98131189.0,1.8856767974166089,460175314.0,8844192.0,52.031357302057664
588,3,16.56847174358447,899789672.0,2.0679489889176565,4530944592.0,95676157.0,47.35709223772439
2612,73,13.915478343658751,2168863080.0,2.1550337942977142,13417112669.0,295511689.0,45.40298461425666
1487,31,22.8687213439341,6776352164.0,2.3745876432808113,22855178441.0,555916979.0,41.112574906621084
1815,9,95.8794226524472,23892270274.0,2.3839424491585826,1026809976.0,25076365.0,40.94732135219758
1028,147,35.34577079554991,2343143092.0,2.498820591322035,4286060457.0,109845811.0,39.018879445480174
1999,2,32.24202965100854,1867709310.0,2.572560790981422,3925069030.0,103641015.0,37.871773351505674
1746,3,35.03398439864496,2555749799.0,2.6088633328390216,4739309107.0,126954158.0,37.33086951748363
2027,40,29.969948020568843,2884098470.0,3.050379228874082,6739203072.0,212039252.0,31.782809118756937
2542,2,77.47319931576837,8490181.0,3.1197585098058296,2468681.0,79497.0,31.053763035083087
1704,3,68.85344138878077,65382642.0,3.184360286797995,29576507.0,972800.0,30.40348170230263
2408,3,35.60217045653034,1812090943.0,3.5509663583408804,3277741839.0,120676699.0,27.1613481820546
1579,20,33.53377400160307,3844376450.0,3.7138755082791817,7619816187.0,293905782.0,25.926050638228002
1455,5,21.40985718418155,260490140.0,3.93947341351984,956193081.0,39213789.0,24.384103280608766
2285,3,33.11258186210797,2310124165.0,4.020096804600491,4666451007.0,195453258.0,23.87502288142979
888,3,95.22892547010541,321136361.0,4.3235709714483885,16089287.0,727067.0,22.129029374184224
1713,5,40.57789025969786,1642580126.0,4.723776405725096,2405388153.0,119258671.0,20.16950325565845
22,7,19.081818318498218,549058401.0,4.737331635435995,2328331960.0,115785972.0,20.108929603320167
2251,8,62.08845253209877,52575895.0,4.739518681148924,32103128.0,1597235.0,20.09918891083654
1044,3,21.64604549464915,769330912.0,5.036656622011828,2784809784.0,147700472.0,18.85444065473264
1892,4,19.372131475556976,74617990.0,5.0924383975379035,310564147.0,16663886.0,18.636958210107775
1810,3,82.05103095450073,2297381232.0,5.404322838626427,502560713.0,28711675.0,17.503705826985016
2152,2,74.62006854251166,732819517.0,5.542968430364232,249248084.0,14626484.0,17.040874895155937
2277,1,84.61325801284072,2210823176.0,5.558126585144865,402033518.0,23660619.0,16.99167371741204
952,4,58.846645751066184,1281139245.0,5.569798430212628,895941927.0,52845550.0,16.95397109122717
71,5,18.121789246388477,262016360.0,5.998352827854374,1183847271.0,75542651.0,15.671243401293927
1512,5,52.31726431862561,641775816.0,6.440947886546038,584924059.0,40268315.0,14.525665129022657
2256,5,44.94395013383314,213016991.0,6.465095677670258,260944444.0,18036377.0,14.467675187760824
447,4,12.682323884348476,379374590.0,6.48191180166666,2611990348.0,181041886.0,14.427547158893384
1618,15,60.92694902867808,3910388337.0,6.785475955337103,2507770457.0,182551124.0,13.73735971628419
141,14,20.788777999514878,523556626.0,6.8568331310843,1994901294.0,146856777.0,13.58399206868063
2174,3,74.5252826566384,32052040.0,6.944945315625284,10956237.0,817693.0,13.398961468423968
1365,2,29.064843655472174,321548072.0,6.971049446152324,784764681.0,58805709.0,13.345042417565274
907,101,23.69747087011555,4470396171.0,7.008453360324994,14394048037.0,1084829944.0,13.268483338435576
1990,5,37.34768316741662,1091017577.0,7.165438270435495,1830228092.0,141266207.0,12.955880467577076
69,7,25.690447484017188,1123357504.0,7.235400986091254,3249308658.0,253437748.0,12.820934070168585
2870,87,31.632395110611867,142631125739.0,7.235486590181904,308270948670.0,24044650624.0,12.820770552694224
1076,60,32.85278240948012,6780696450.0,7.3465797263912505,13858944861.0,1098889205.0,12.61177632644048
2944,4,49.6043572131571,406635010.0,8.071742335008786,413121626.0,36274062.0,11.388898932796664
1020,70,48.35156136564526,10994655436.0,8.519851088743957,11744331942.0,1093788767.0,10.737294344512133
276,5,99.73792255919915,1949497354.0,9.180009673059113,5122618.0,517790.0,9.893234709051931
402,5,43.20677876845217,343167747.0,9.262452479864,451077408.0,46045801.0,9.796276711529027
2781,2,9.636628109635234,33126785.0,9.331006112617539,310632304.0,31968061.0,9.71695793498392
2805,43,29.667010550768968,11644810048.0,9.895486169443105,27606903663.0,3031854030.0,9.10561768140269
575,24,58.50666606414777,7422484455.0,10.163393100212906,5264077529.0,595535507.0,8.839233710039727
1148,6,72.55526880054852,1028953644.0,10.493679131922125,389211654.0,45630992.0,8.529546190887105
2942,6,54.57154075589513,3401395171.0,10.611428226300012,2831515104.0,336132670.0,8.423802137411993
1876,29,27.299104156206905,3663762352.0,10.633176423018053,9757052965.0,1160928199.0,8.404527492229517
3263,22,75.27957512434419,21013735895.0,10.697890490982322,6900523531.0,826643911.0,8.34763728272354
2137,3,26.88970237959058,1170624832.0,10.821217406145891,3182806885.0,386211207.0,8.241104419841447
509,26,59.73079879886352,16300794019.0,10.893504578865516,10989639638.0,1343512492.0,8.179782252445182
619,7,32.44530363590152,548416343.0,10.922361644304694,1141863240.0,140010933.0,8.155529111430177
426,2,50.719074534529526,147987680.0,11.133333835169342,143791461.0,18014385.0,7.982035523277648
