resolucion,modularidad
0.0,"FitnessResult(min=None, max=None, score=0.7773757345557155, std=None)"
0.1,"FitnessResult(min=None, max=None, score=0.9758978464531838, std=None)"
0.2,"FitnessResult(min=None, max=None, score=0.9755354967764772, std=None)"
0.3,"FitnessResult(min=None, max=None, score=0.9758367811445431, std=None)"
0.4,"FitnessResult(min=None, max=None, score=0.9793850814022105, std=None)"
0.5,"FitnessResult(min=None, max=None, score=0.9795230683905826, std=None)"
0.6,"FitnessResult(min=None, max=None, score=0.9802209607239282, std=None)"
0.7,"FitnessResult(min=None, max=None, score=0.9803508006575984, std=None)"
0.8,"FitnessResult(min=None, max=None, score=0.980365668068168, std=None)"
0.9,"FitnessResult(min=None, max=None, score=0.9804172299968172, std=None)"
1.0,"FitnessResult(min=None, max=None, score=0.9804136881693355, std=None)"
